tagID,tagText,tagType
1,seinfeldtv,mention
2,dodgers,hashtag
3,ross_stripling,mention
4,kenleyjansen74,mention
5,dugie11,mention
6,itfdb,hashtag
7,aaronjudge,hashtag
8,aaeonjudgeedits,hashtag
9,happybirthdayaaronjudge,hashtag
10,turning27,hashtag
11,allrise,hashtag
12,allriseforthejudge,hashtag
13,mvp,hashtag
14,getwellsoon,hashtag
15,captin,hashtag
16,yankees,hashtag
17,newyorkyankees,hashtag
18,bronxbombers,hashtag
19,yanks,hashtag
20,yanksonyes,hashtag
21,yankeestadium,hashtag
22,goncarlostanton,hashtag
23,thurmanmunson,hashtag
24,ccsabathia,hashtag
25,garysanchez,hashtag
26,glebertorres,hashtag
27,glebertorreswalkoffwin,hashtag
28,theyankees,hashtag
29,4,hashtag
30,thejudge44,mention
31,yankees,mention
32,baseball.fanaticss,mention
33,original,hashtag
34,authentic,hashtag
35,california,hashtag
36,losangeles,hashtag
37,streetwear,hashtag
38,brand,hashtag
39,shirt,hashtag
40,rams,hashtag
41,lakers,hashtag
42,raiders,hashtag
43,kings,hashtag
44,clippers,hashtag
45,angels,hashtag
46,chargers,hashtag
47,repthawest,hashtag
48,westcoast,hashtag
49,dubsup,hashtag
50,gfunk,hashtag
51,westside,hashtag
52,tshirt,hashtag
53,hoodie,hashtag
54,sweatshirt,hashtag
55,repthatclothing,hashtag
56,lifestyle,hashtag
57,movement,hashtag
58,fashion,hashtag
59,couture,hashtag
60,hype,hashtag
61,baseball,hashtag
62,baseballcap,hashtag
63,baseballseason,hashtag
64,baseballgame,hashtag
65,baseballmom,hashtag
66,baseballlife,hashtag
67,modernbaseball,hashtag
68,baseballislife,hashtag
69,baseballplayer,hashtag
70,baseballtee,hashtag
71,baseballbat,hashtag
72,majorleaguebaseball,hashtag
73,angelsbaseball,hashtag
74,baseballisback,hashtag
75,mlbbaseball,hashtag
76,baseballglove,hashtag
77,baseballswag,hashtag
78,highschoolbaseball,hashtag
79,baseballfamily,hashtag
80,dodgersbaseball,hashtag
81,fantasybaseball,hashtag
82,baseballfan,hashtag
83,yankeesbaseball,hashtag
84,baseballshirt,hashtag
85,baseballhat,hashtag
86,baseballfans,hashtag
87,baseballcards,hashtag
88,topibaseball,hashtag
89,collegebaseball,hashtag
90,raysbaseball,hashtag
91,the_ultimate_baseball,mention
92,_jeremyrodriguez_,mention
93,baseball_lifestyle101,mention
94,cubanmissle,hashtag
95,brettgardner,hashtag
96,didigregorius,hashtag
97,flavafraz,hashtag
98,starlincastro,hashtag
99,ahicks,hashtag
100,elgarysanchez,hashtag
101,joegirardi,hashtag
102,_gregbird33,hashtag
