trtID,TagCatagorycatagoryID,TagTagID
1,2,1
2,1,2
3,3,2
4,2,3
5,2,4
6,2,5
7,1,6
8,1,7
9,1,8
10,1,9
11,1,10
12,1,11
13,1,12
14,1,13
15,1,14
16,1,15
17,1,16
18,3,16
19,1,17
20,1,18
21,1,19
22,1,20
23,1,21
24,1,22
25,1,23
26,1,24
27,1,25
28,1,26
29,1,27
30,1,28
31,1,29
32,3,29
33,2,30
34,2,31
35,2,32
36,1,33
37,1,34
38,1,35
39,1,36
40,1,37
41,1,38
42,1,39
43,1,40
44,1,41
45,1,42
46,1,43
47,1,44
48,1,45
49,1,46
50,1,47
51,1,48
52,1,49
53,1,50
54,1,51
55,1,52
56,1,53
57,1,54
58,1,55
59,1,56
60,1,57
61,1,58
62,1,59
63,1,60
64,1,61
65,3,61
66,1,62
67,1,63
68,1,64
69,1,65
70,1,66
71,1,67
72,1,68
73,1,69
74,1,70
75,1,71
76,1,72
77,1,73
78,1,74
79,1,75
80,1,76
81,1,77
82,1,78
83,1,79
84,1,80
85,1,81
86,1,82
87,1,83
88,1,84
89,1,85
90,1,86
91,1,87
92,1,88
93,1,89
94,1,90
95,3,90
96,2,91
97,2,92
98,2,93
99,1,94
100,1,95
101,1,96
102,1,97
103,1,98
104,1,99
105,1,100
106,1,101
107,1,102
108,3,102
