frtID,FanpersonID,TeamteamID
1,10,1
2,11,1
3,12,1
4,13,1
5,14,1
6,15,1
7,16,1
8,17,1
9,18,1
10,19,1
11,20,1
12,21,1
13,22,1
14,23,1
15,24,1
16,25,1
17,26,1
18,27,1
19,28,1
20,29,1
21,30,1
22,31,1
23,32,1
24,33,1
25,34,1
26,35,1
27,36,1
28,37,1
29,38,1
30,39,1
31,40,1
32,41,1
33,42,1
34,43,1
35,44,1
36,45,1
37,46,1
38,47,1
39,48,1
40,49,1
41,50,1
42,51,1
43,52,1
44,53,1
45,54,1
46,55,1
47,56,1
48,57,1
49,58,1
50,59,1
51,60,1
52,61,1
53,62,1
54,63,1
55,64,1
56,65,1
57,66,1
58,67,1
59,68,1
60,69,1
61,70,1
62,71,1
63,72,1
64,73,1
65,74,1
66,75,1
67,76,1
68,77,1
69,78,1
70,79,1
71,80,1
72,81,1
73,82,1
74,83,1
75,84,1
76,85,1
77,86,1
78,87,1
79,88,1
80,89,1
81,90,1
82,91,1
83,92,1
84,93,1
85,94,1
86,95,1
87,96,1
88,97,1
89,98,1
90,182,2
91,183,2
92,184,2
93,185,2
94,186,2
95,187,2
96,188,2
97,189,2
98,190,2
99,191,2
100,192,2
101,193,2
102,194,2
103,195,2
104,196,2
105,197,2
106,198,2
107,199,2
108,200,2
109,201,2
110,202,2
111,203,2
112,204,2
113,205,2
114,206,2
115,207,2
116,208,2
117,209,2
118,210,2
119,211,2
120,212,2
121,213,2
122,214,2
123,215,2
124,216,2
125,217,2
126,218,2
127,219,2
128,220,2
129,221,2
130,222,2
131,223,2
132,224,2
133,225,2
134,226,2
135,227,2
136,228,2
137,229,2
138,230,2
139,231,2
140,232,2
141,233,2
142,234,2
143,235,2
144,236,2
145,237,2
146,238,2
147,239,2
148,240,2
149,241,2
150,242,2
151,243,2
152,244,2
153,245,2
154,246,2
155,247,2
156,248,2
157,249,2
158,250,2
159,251,2
160,252,2
161,253,2
162,254,2
163,255,2
164,256,2
165,257,2
166,258,2
167,259,2
168,349,3
169,350,3
170,351,3
171,352,3
172,353,3
173,354,3
174,355,3
175,356,3
176,357,3
177,358,3
178,359,3
179,360,3
180,361,3
181,362,3
182,363,3
183,364,3
184,365,3
185,366,3
186,367,3
187,368,3
188,369,3
189,370,3
190,371,3
191,372,3
192,373,3
193,374,3
194,375,3
195,376,3
196,377,3
197,378,3
198,379,3
199,380,3
200,381,3
201,382,3
202,383,3
203,384,3
204,385,3
205,386,3
206,387,3
207,388,3
208,389,3
209,390,3
210,391,3
211,392,3
212,393,3
213,394,3
214,395,3
215,396,3
216,397,3
217,398,3
218,399,3
219,400,3
220,401,3
221,402,3
222,403,3
223,404,3
224,405,3
225,406,3
226,407,3
227,408,3
228,409,3
229,410,3
230,411,3
231,412,3
232,413,3
233,414,3
234,415,3
235,416,3
236,417,3
237,418,3
238,419,3
239,420,3
240,421,3
241,422,3
242,423,3
243,424,3
244,425,3
245,426,3
246,427,3
247,428,3
248,429,3
249,430,3
250,431,3
251,432,3
252,433,3
253,434,3
254,435,3
255,436,3
256,437,3
257,438,3
258,439,3
259,440,3
260,441,3
261,442,3
